query,querySlug,cluster,clusterLabel,text,videosNumber,ids
pfas,pfas,10,Health lifestyle,menshealth,4,7081362375416253742|7307324122219040043|7081362375416253742|7307324122219040043
pfas,pfas,10,Health lifestyle,healthyliving,19,7080156835235319086|7112536651968335150|7125198542393888046|7122915407119355182|7158862212700933418|7171307633209593131|7168174131886755114|7178930899390860590|7194413176803298602|7205047887552679211|7216315406938606894|7239004956228095278|7250139680249826606|7306869508466036011|7306641117305605422|7080156835235319086|7171307633209593131|7205047887552679211|7307219590306598145
pfas,pfas,10,Health lifestyle,wellness,5,7125198542393888046|7137749248983977258|7158862212700933418|7283595512937205034|7137749248983977258
pfas,pfas,10,Health lifestyle,healthylifestyle,9,7125198542393888046|7158862212700933418|7168632882364255530|7168182001311255854|7168174131886755114|7178930899390860590|7239004956228095278|7238773601334234411|7250139680249826606
pfas,pfas,10,Health lifestyle,selfcare,4,7137086360661413163|7179011949257149738|7306782417602514222|7137086360661413163
pfas,pfas,10,Health lifestyle,hormonehealth,5,7148082499426536750|7168520933861297451|7250139680249826606|7307291973440785707|7307291973440785707
pfas,pfas,10,Health lifestyle,hormonebalance,5,7148082499426536750|7179011949257149738|7273621663336500522|7273621663336500522|7307219590306598145
pfas,pfas,10,Health lifestyle,healthyeating,7,7158862212700933418|7168632882364255530|7216077978629868843|7273603991437593899|7307211840562597166|7273603991437593899|7307211840562597166
pfas,pfas,10,Health lifestyle,hormoneimbalance,4,7205343337153350955|7307291973440785707|7205343337153350955|7307291973440785707
pfas,pfas,10,Health lifestyle,holistichealth,8,7238653723734510891|7273564282208390443|7273515236408282414|7283595512937205034|7306782417602514222|7306708606873832750|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,toxic,23,7080724211219565870|7112516550271225134|7137878557656763690|7148635415719808302|7170714568443006254|7170713949640477998|7194948325785767214|7227672372793462059|7226823277086330155|7238328677916790058|7273603991437593899|7283646333297167659|7306615285237304619|7080724211219565870|7137878557656763690|7148635415719808302|7170714568443006254|7170713949640477998|7194948325785767214|7227672372793462059|7273603991437593899|7284549846466432288|7307358511929806113
pfas,pfas,11,Non toxic living,toxinfree,12,7114680834644544814|7112443060293799211|7135577043135237422|7149269637761502510|7158187172393258286|7179011949257149738|7216315406938606894|7226901115684556075|7250204516010937646|7250097834450488618|7283866967906340138|7149269637761502510
pfas,pfas,11,Non toxic living,toxicchemicals,29,7125198542393888046|7137878557656763690|7135850278858804526|7160550540902960427|7194518453032668459|7205343337153350955|7204861876667190571|7216824254371761450|7216817923795602730|7216810148843621678|7216217327338147114|7227626357264600362|7226585139097226539|7238328677916790058|7262120910306479403|7273604555059825962|7273235929958141230|7284016965973183786|7295032625012411694|7137878557656763690|7160550540902960427|7194518453032668459|7205343337153350955|7216824254371761450|7216817923795602730|7216810148843621678|7227626357264600362|7262120910306479403|7273604555059825962
pfas,pfas,11,Non toxic living,nontoxicliving,14,7124740497670753578|7148082499426536750|7179011949257149738|7239034771324685611|7239004956228095278|7273621663336500522|7273564282208390443|7273515236408282414|7306909501767126315|7306708606873832750|7239034771324685611|7273621663336500522|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,toxins,9,7137086360661413163|7168632882364255530|7194560105793244458|7216389446034361642|7250139680249826606|7261749362777132330|7137086360661413163|7194560105793244458|7216389446034361642
pfas,pfas,11,Non toxic living,nontoxic,15,7135577043135237422|7168632882364255530|7194413176803298602|7226901115684556075|7250139680249826606|7273621663336500522|7273564282208390443|7273515236408282414|7283849302689205550|7295834607931444523|7306909501767126315|7318499468406459679|7273621663336500522|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,lowtoxliving,16,7149269637761502510|7168632882364255530|7179011949257149738|7194560105793244458|7205047887552679211|7216217327338147114|7226585139097226539|7250346573752700203|7262120910306479403|7295844737611877674|7306909501767126315|7149269637761502510|7194560105793244458|7205047887552679211|7250346573752700203|7262120910306479403
pfas,pfas,11,Non toxic living,nontoxichome,11,7148082499426536750|7216315406938606894|7239004956228095278|7273564282208390443|7273515236408282414|7307291973440785707|7306909501767126315|7171828630295760133|7273564282208390443|7273515236408282414|7307291973440785707
pfas,pfas,11,Non toxic living,nontoxiclifestyle,7,7148082499426536750|7179011949257149738|7273564282208390443|7273515236408282414|7306909501767126315|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,toxinfreeliving,4,7146614312847691050|7216315406938606894|7226901115684556075|7250204516010937646
pfas,pfas,11,Non toxic living,nontoxiclivingproducts,5,7160716789075250474|7160550540902960427|7158488228742384938|7160716789075250474|7160550540902960427
pfas,pfas,11,Non toxic living,nontoxicmom,4,7160550540902960427|7182345927590513962|7160550540902960427|7182345927590513962
pfas,pfas,11,Non toxic living,toxicfood,4,7171677670604934443|7205343337153350955|7171677670604934443|7205343337153350955
pfas,pfas,11,Non toxic living,nontoxicbeauty,9,7169975590395661611|7179011949257149738|7239034771324685611|7249916937935932715|7273564282208390443|7273515236408282414|7239034771324685611|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,lowtox,4,7179011949257149738|7284016965973183786|7283866967906340138|7306909501767126315
pfas,pfas,11,Non toxic living,toxinfreelifestyle,5,7216315406938606894|7226901115684556075|7250204516010937646|7307291973440785707|7307291973440785707
pfas,pfas,11,Non toxic living,nontoxicskincare,6,7273621663336500522|7273564282208390443|7273515236408282414|7273621663336500522|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,nontoxicswaps,7,7273621663336500522|7273564282208390443|7273515236408282414|7295032625012411694|7273621663336500522|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,nontoxiccleaning,5,7273564282208390443|7273515236408282414|7306909501767126315|7273564282208390443|7273515236408282414
pfas,pfas,11,Non toxic living,nontoxicproducts,4,7273564282208390443|7273515236408282414|7273564282208390443|7273515236408282414
pfas,pfas,12,Food safety,groceryshopping,5,7067201049127505199|7205209096822394158|7204954016600640811|7067201049127505199|7205209096822394158
pfas,pfas,12,Food safety,fastfood,6,7081362375416253742|7080730072671341870|7169343644158446894|7081362375416253742|7080730072671341870|7080164193042812166
pfas,pfas,12,Food safety,food,5,7080730072671341870|7125613119124114734|7125198542393888046|7080730072671341870|7125613119124114734
pfas,pfas,12,Food safety,foodsafety,4,7078683999433919786|7125198542393888046|7307211840562597166|7307211840562597166
pfas,pfas,12,Food safety,foodtok,4,7078683999433919786|7205209096822394158|7204954016600640811|7205209096822394158
pfas,pfas,12,Food safety,cleaneating,5,7158862212700933418|7239034771324685611|7306641117305605422|7171828630295760133|7239034771324685611
pfas,pfas,12,Cookware,cookware,4,7180390849065307438|7216217327338147114|7250245203024563499|7171828630295760133
pfas,pfas,12,Food safety,ingredientsmatter,4,7205209096822394158|7204954016600640811|7204861876667190571|7205209096822394158
pfas,pfas,12,Cookware,castironcooking,4,7216217327338147114|7318910803158011167|7318508631069232430|7318910803158011167
pfas,pfas,13,Make up and skincare,makeup,11,7069132199005703470|7062523234536803630|7092019949211798826|7088156282611371307|7125613119124114734|7284400281075420459|7295468563588992298|7294796131815509290|7069132199005703470|7092019949211798826|7125613119124114734
pfas,pfas,13,Make up and skincare,skincare,4,7080203006628728106|7088156282611371307|7284400281075420459|7080203006628728106
pfas,pfas,13,Make up and skincare,cleanbeauty,12,7091288619083762990|7125879567709015342|7227211585788431658|7238993096388807982|7249916937935932715|7295468563588992298|7295187666675453227|7294796131815509290|7058411236568354095|7091288619083762990|7125879567709015342|7250632956757216517
pfas,pfas,13,Make up and skincare,beauty,6,7170714568443006254|7170713949640477998|7227211585788431658|7136853483407379713|7170714568443006254|7170713949640477998
pfas,pfas,13,Make up and skincare,beautyhacks,4,7170714568443006254|7170713949640477998|7170714568443006254|7170713949640477998
pfas,pfas,13,Make up and skincare,beautytok,6,7170714568443006254|7170713949640477998|7295468563588992298|7294796131815509290|7170714568443006254|7170713949640477998
pfas,pfas,14,Forever Chemicals,contamination,5,7069580943983496491|7239034771324685611|7069580943983496491|7239034771324685611|7296167294298852640
pfas,pfas,14,Forever Chemicals,organic,8,7069537940585712938|7135577043135237422|7158862212700933418|7250527557043359019|7307324122219040043|7069537940585712938|7250527557043359019|7307324122219040043
pfas,pfas,14,Forever Chemicals,foreverchemicals,86,7069537940585712938|7080724211219565870|7092019949211798826|7090887193828330798|7086197587233099050|7086099963528138030|7085443955399380270|7102167420986461486|7102026457773444398|7102023285403045166|7102020426888400174|7101473012838321454|7100582785361939758|7113936139454647598|7112516550271225134|7124733927222250795|7123719948916084010|7123264573066480938|7122817364869041451|7135845997946801454|7135577043135237422|7135180699115719982|7148466868116852010|7148271125955349803|7158466774944517418|7168520933861297451|7168174131886755114|7182095277833162030|7180390849065307438|7178930899390860590|7205343337153350955|7205310308402007338|7205253881247468846|7205228883426250027|7205010048261590315|7204954016600640811|7204947108355411242|7216824254371761450|7216817923795602730|7216810148843621678|7216030304480365870|7227611107093941550|7227224017214655787|7226823277086330155|7226585139097226539|7239465115114835243|7239034771324685611|7238773601334234411|7250346573752700203|7250227683777432875|7273603991437593899|7273564282208390443|7273515236408282414|7273267010153499950|7273235929958141230|7295468563588992298|7295446642373741866|7294796131815509290|7307336964791897386|7306641117305605422|7318848588069555499|7069537940585712938|7080724211219565870|7092019949211798826|7148466868116852010|7182095277833162030|7205343337153350955|7205310308402007338|7205253881247468846|7205228883426250027|7205010048261590315|7216824254371761450|7216817923795602730|7216810148843621678|7227611107093941550|7239467146986769665|7239465115114835243|7239034771324685611|7250346573752700203|7262074451636784417|7273603991437593899|7273564282208390443|7273515236408282414|7284662586451168545|7307336964791897386|7318848588069555499
pfas,pfas,14,Forever Chemicals,chemicals,13,7080730072671341870|7100988514610908462|7112516550271225134|7122915407119355182|7137878557656763690|7194948325785767214|7205343771607698730|7204947108355411242|7249912094903110958|7080730072671341870|7137878557656763690|7194948325785767214|7205343771607698730
pfas,pfas,14,Forever Chemicals,carcinogenic,4,7080724211219565870|7205343337153350955|7080724211219565870|7205343337153350955
pfas,pfas,14,Forever Chemicals,microplastics,12,7086197587233099050|7085443955399380270|7135845997946801454|7160716789075250474|7168520933861297451|7194920028259732782|7216315406938606894|7284639570128342315|7160716789075250474|7194920028259732782|7239404547557313818|7284639570128342315
pfas,pfas,14,Forever Chemicals,ecotok,15,7103641347428453678|7114774472296516907|7114045944512990507|7138168351066426667|7137430198609349934|7135577043135237422|7135519801157537070|7149312491883859246|7148564975236222250|7147816833280789803|7103641347428453678|7138168351066426667|7137430198609349934|7149312491883859246|7148564975236222250
pfas,pfas,14,Forever Chemicals,environmentalhealth,6,7125198542393888046|7239034771324685611|7295446642373741866|7295187666675453227|7306641117305605422|7239034771324685611
pfas,pfas,14,Forever Chemicals,endocrinedisruptingchemicals,6,7123719948916084010|7169343644158446894|7194518453032668459|7205343337153350955|7194518453032668459|7205343337153350955
pfas,pfas,14,Forever Chemicals,ecofriendly,7,7138045266694884651|7135577043135237422|7273580597467958559|7295187666675453227|7306905813212204330|7138045266694884651|7273580597467958559
pfas,pfas,14,Forever Chemicals,phthalates,17,7137878557656763690|7149312491883859246|7148564975236222250|7147816833280789803|7171677670604934443|7170073792461442347|7168963198861757738|7182345927590513962|7227626357264600362|7226585139097226539|7250139680249826606|7137878557656763690|7149312491883859246|7148564975236222250|7171677670604934443|7182345927590513962|7227626357264600362
pfas,pfas,14,Forever Chemicals,pollution,9,7135577043135237422|7135519801157537070|7158970109871295790|7239034771324685611|7296145183731715374|7295446642373741866|7239034771324685611|7296167294298852640|7296145183731715374
pfas,pfas,14,Forever Chemicals,greenwashing,4,7160550540902960427|7159205912975084842|7295187666675453227|7160550540902960427
pfas,pfas,14,Forever Chemicals,activatedcarbon,4,7168174131886755114|7178930899390860590|7205228883426250027|7205228883426250027
pfas,pfas,14,Forever Chemicals,cleanliving,7,7179011949257149738|7194631387473775918|7239034771324685611|7239004956228095278|7261749362777132330|7194631387473775918|7239034771324685611
pfas,pfas,14,Forever Chemicals,environmentaltoxins,4,7194631387473775918|7295446642373741866|7306641117305605422|7194631387473775918
pfas,pfas,14,Forever Chemicals,chemical,5,7205228883426250027|7250527557043359019|7306708606873832750|7205228883426250027|7250527557043359019
pfas,pfas,17,Fashion,fashion,6,7125198542393888046|7081146604748541211|7080848389335829786|7080366419598265627|7103829030650105115|7284506635786079496
pfas,pfas,17,Fashion,pfashion,33,7283967121162374442|7283965597501738283|7103895544837262619|7103894490854804762|7103893827609431322|7103856432692481306|7103829030650105115|7103428880182086939|7126189526401273115|7126093134827670810|7125626835647335706|7125612696959028507|7125354243946532123|7137653125631970587|7137633034681027866|7137317946581454107|7149069707365076251|7148806722541407514|7148684773572054299|7171650371083980058|7171288875615178011|7170655407843609883|7205136834471496986|7227494172276559109|7239377679370243333|7239339818382085382|7239325035369123078|7239262735555366149|7250479148865555718|7261893550613286150|7284473725796240646|7296122694939036934|7307251594922413318
pfas,pfas,17,Fashion,dress,5,7080366419598265627|7125626835647335706|7284473725796240646|7296122694939036934|7307251594922413318
pfas,pfas,17,Fashion,2pfashion,6,7092271303360580890|7092214762620128539|7091999048445463835|7091933723821640987|7091577249819888923|7091464503744924955
pfas,pfas,17,Fashion,p2pfashion,5,7103792888730995995|7159750072031284506|7159745846060256539|7159366919693405467|7318754708737232135
pfas,pfas,17,Fashion,เสื้อผ้าแฟชั่น,4,7159761539715616027|7159750072031284506|7159745846060256539|7159366919693405467
pfas,pfas,17,Fashion,แฟชั่นสุดปั๊วะราคาสุดปัง,4,7159761539715616027|7159750072031284506|7159745846060256539|7159366919693405467
pfas,pfas,17,Fashion,เสื้อผ้าแฟชั่นผู้หญิง,5,7159750072031284506|7159745846060256539|7159366919693405467|7227310988733730053|7307242012808400134
pfas,pfas,17,Fashion,onlineshopping,4,7183392900481371398|7183288006424448262|7239452455728074011|7239074202731416858
pfas,pfas,17,Fashion,menstreetwear,4,7183392900481371398|7183288006424448262|7239452455728074011|7239074202731416858
pfas,pfas,17,Fashion,herenkleding,4,7183392900481371398|7183288006424448262|7239452455728074011|7239074202731416858
