name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language
EQPIM4f5fiM,Making toxic arsenic trioxide from ore (As2O3),yes,23,no,1645955820,2022-02-27 09:02:00,Thy Labs,UCv0Bj3DM-ioSaVjO22g2ARA,Science & Technology,en,en,12662,332,,,0,53,https://i.ytimg.com/vi/EQPIM4f5fiM/mqdefault.jpg,PH
Uj5m1E5Q6ec,Cleveland Exposes Arsenic Water: The Truth Behind Fiji Water s $43M Revenue🧪🚰,yes,25,no,1675202420,2023-01-31 22:01:20,Our Future,UC2htIc3-njRI5BKTJ2QqNfA,Education,en-GB,en-US,1369002,98449,,,0,1441,https://i.ytimg.com/vi/Uj5m1E5Q6ec/mqdefault.jpg,PH
9XK66S50oas,How much Arsenic is in Rice? | Dr. Tiffany Berg | TEDxNorthHighSchool,yes,26,no,1467825736,2016-07-06 17:07:16,TEDx Talks,UCsT0YIqwnpJCM-mx7-gSA4Q,Nonprofits & Activism,,en,37213,511,,,0,166,https://i.ytimg.com/vi/9XK66S50oas/mqdefault.jpg,PH
XDU2kalv8Bs,What is Arsenic Pollution:Causes and Prevention measures,yes,27,no,1648183658,2022-03-25 04:03:38,Geology and Geographical Tech,UC7n3NF8-mNMdMs1tS3hzg_Q,Science & Technology,,en-IN,3587,49,,,0,1,https://i.ytimg.com/vi/XDU2kalv8Bs/mqdefault.jpg,PH
4dDQsRy0ulE,The Arsenic Fashion That Killed Victorians,yes,28,no,1629039605,2021-08-15 15:08:05,BuzzFeed Unsolved Network,UCKijjvu6bN1c-ZHVwR7-5WA,People & Blogs,en,en,285634,8409,,,0,450,https://i.ytimg.com/vi/4dDQsRy0ulE/mqdefault.jpg,PH
D36jcidJgrY,Arsenic in Rice - Doctor says  UNCLE ROGER  is Cooking Rice Wrong,yes,29,no,1615642711,2021-03-13 13:03:31,The Habits Doctor,UCbfBOJrRX6nXFyvRqaX2Qsg,Education,,en,6149,262,,,0,62,https://i.ytimg.com/vi/D36jcidJgrY/mqdefault.jpg,PH
rQ8jHM8QhU8,Arsenic Life - Periodic Table of Videos,yes,30,no,1291569793,2010-12-05 17:12:13,Periodic Videos,UCtESv1e7ntJaLJYKIO1FoYw,Science & Technology,,,278514,3932,,,0,237,https://i.ytimg.com/vi/rQ8jHM8QhU8/mqdefault.jpg,PH
3Dbs6S5Lz6Y,Chronic Arsenic poisoning,yes,31,no,1685718086,2023-06-02 15:06:26,MBBS Physiology - Dr. Waqas Khan,UCpTNKOgn_gVck7hYl11OW5Q,Education,,,4328,348,,,0,7,https://i.ytimg.com/vi/3Dbs6S5Lz6Y/mqdefault.jpg,PH
kuUkgtThzW4,Consumer Reports finds concerning arsenic levels in some bottled water,yes,32,no,1555627031,2019-04-18 22:04:11,KSAT 12,UCETE4rKzRRjqM0JaB7TlPpQ,News & Politics,,,8593,79,,,0,17,https://i.ytimg.com/vi/kuUkgtThzW4/mqdefault.jpg,PH
fQR-i-hiQe0,What does Arsenic Ore Look Like?,yes,33,yes,1684544426,2023-05-20 01:05:26,GeologyHub,UCYeGh5VML5XPr5jYnzh3J6g,Education,,en,9539,931,,,0,28,https://i.ytimg.com/vi/fQR-i-hiQe0/mqdefault.jpg,PH
