id,title,rank,keyword_Location,keyword_Candidate,cluster,clusterLabel
1385710371,Portrait of Pensive Lady Holding Apple And Burger,705,Ukraine,,other,Other
1410994787,Recycle concept of different materials,706,Serbia,,other,Other
1384042811,"Many black vultures in Naples, Florida rummiging through trash dumpster bin that was left open by store shopping center",707,Florida - US State|USA|Gulf Coast States|Naples - Florida,,other,Other
1155456909,Girl eating hamburger in the garden,708,Vietnam,,other,Other
1166399581,A huge pile of garbage in nature. Pollution concept.,709,Greece|Corfu,,dumpsites,Dumpsites
1465641668,Zero waste concept. Eco-friendly natural items with a recycling sign in hand.,710,Russia,,other,Other
1204032290,A woman eating too hot and peppery soup in an Asian fast food restaurant. Concept of spices in Oriental cuisine,711,China - East Asia|Asia,,packaging,Packaging
1350285751,Man preparing breakfast,712,Serbia,,household_waste,Household waste
1360627118,"In a man hand, banana peel is thrown into trash.Food waste.",713,,,other,Other
1296464953,Compost Bucket and Bio waste trash on wooden background,714,Russia,,household_waste,Household waste
91705369,Scavenging Raccoon,715,,,other,Other
1151288808,"Mountain large garbage pile and pollution,Pile of stink and toxic residue,These garbage come from urban and industrial areas can not get rid of, Consumer society Cause massive waste",716,,,dumpsites,Dumpsites
1353388204,Vegetable peels in to a compost bucket,717,Serbia,,other,Other
1443472073,Close up side shot of microplastics lay on people hand. Concept of water pollution and global warming. Climate change idea. micro plastics concept in food and water or sea,718,Thailand,,other,Other
1296464941,Compost Bucket and Bio waste trash Cooking process on wooden background,719,Russia,,compost,Compost
173892224,Garbage dump set in urban area,720,India,,dumpsites,Dumpsites
1194505455,Family composting organic garbage,721,Serbia,,household_waste,Household waste
1189960138,Mother and daughter composting their leftovers of fruits and vegetables,722,Serbia,,household_waste,Household waste
1353071698,Woman thorwing banana peels in trash can,723,Uzbekistan,,other,Other
1391182887,"Top view of organic composting with leftover from kitchen, Recycling scraps concept, Sustainable and zero waste lifestyle, Environmentally responsible, Garbage sorting",724,,,fruit_vegetables_consumption,Fruit vegetables consumption
1199197559,candy wrapper on the floor. garbage,725,Russia,,other,Other
1224216806,"Biodegradable disposable tableware. Paper plates, cups, boxes. Wooden cutlery. Flat lay",726,,,other,Other
1135347555,"Orange peels on heaps, view from above",727,Germany,,other,Other
1477675200,"Aerial view, earth and piles of garbage, plastic bottles and garbage. waste sorting facility Concept of waste disposal and waste separation to preserve the environment and save the world.",728,Thailand,,dumpsites,Dumpsites
1200151386,Woman and Her Daughter Shoveling Compost into Wheelbarrow,729,USA|Pacific Northwest|Washington State,,compost,Compost
1365351323,female market vendor with face mask putting vegetables in plastic bag,730,Bahia State|Brazil,,other,Other
1191224710,Recycling container trash dumpsters being full with garbage,731,,,dumpsites,Dumpsites
962599748,World Environment Day and plastic garbage situation from urban and industrial areas are intensifying the mountain so difficult to manage or eliminate.,732,Thailand,,dumpsites,Dumpsites
1486190721,Stop Wasting Food. Warning sign with text in the hands of a woman,733,,,other,Other
525987511,Sewer of food traps box,734,,,household_waste,Household waste
1417997299,Bio container with various organic wastes.,735,Germany,,fruit_vegetables_consumption,Fruit vegetables consumption
1008675456,Scavenging birds flock to find food at a landfill site,736,UK,,dumpsites,Dumpsites
1303519303,Mature woman separating biodegradable waste,737,,,leftovers,Leftovers
1349005617,Woman holding vegetable waste bin for composting,738,South Africa,,other,Other
1412205974,"""Sego Bancakan"" is one of the traditional Javanese cuisines that is only served during special events in the Javanese calendar by Javanese families and then delivered to their near neighbors.",739,Indonesia,,other,Other
