query,cluster,text,videosNumber,ids,querySlug
detox,3,detoxjuice,3,7227995658563734790|7284756607030889733|7284708606744874246,detox
detox,3,drsebi,4,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,3,slimmingdetox,3,7250632672978930949|7307402482777394437|7318766142917594374,detox
detox,4,nature,3,7059289321479867674|7069769109252132122|7103564146662247707,detox
detox,4,antiaging,6,7069733558226554139|7081113095782812955|7126559797712784666|7183287553787710746|7216857726352100634|7262110235572161797,detox
detox,4,natural,3,7103887042001653019|7103754531342765338|7296175191577677061,detox
detox,4,health,13,7103754531342765338|7114996665609637147|7126559797712784666|7194965611150134555|7216849158941035781|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262110235572161797|7296175191577677061|7307344821700660486|7307328278535113990,detox
detox,4,wellness,9,7114996665609637147|7138055653809032475|7149048555603266843|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7296175191577677061|7307344821700660486,detox
detox,4,healing,6,7126559797712784666|7138066828613438746|7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694,detox
detox,4,supplements,3,7183466021074865434|7262110235572161797|7296175191577677061,detox
detox,4,nutrition,6,7227980603725991173|7227980466173840646|7227980291774713094|7227980124631698694|7262110235572161797|7296175191577677061,detox
detox,5,immunebooster,3,7092393908629425434|7126559797712784666|7183287553787710746,detox
detox,5,brilliantskinessentials,4,7115016585990982939|7114887883021995290|7160675842375388443|7239482441088470278,detox
detox,5,xyzbca,3,7114878002139319578|7171954130318069018|7171952804162981147,detox
detox,5,ByePaninilawPUTILitaw,12,7138194332179270938|7138193603070889242|7138169656862412058|7138166300014169371|7138106862074907930|7138079645789998362|7138064686435650843|7138060183334292763|7138057803960257819|7138057243693567259|7138051215610367259|7138050385729637659,detox
detox,5,budolfinds,4,7149067787980377370|7149062101095419162|7205360340102548763|7307404945970482438,detox
detox,6,skinnybrewwellness,3,7081277828318186778|7092237341045132571|7115183549136801025,detox
detox,6,paidpartnership,10,7138194332179270938|7138193603070889242|7138169656862412058|7138166300014169371|7138106862074907930|7138079645789998362|7138064686435650843|7138060183334292763|7138057803960257819|7138050385729637659,detox
detox,6,buynow,3,7149062101095419162|7183289499420560666|7262080703658003717,detox
detox,6,whitelabelbypsphbeauty,3,7205317693765864730|7216857726352100634|7318910906275089669,detox
detox,6,sexyhabits,10,7250632672978930949|7262115601319988485|7262113401554472197|7273631053422660869|7273607696505392389|7284756607030889733|7284725246567992582|7284708606744874246|7296242586388303110|7318766142917594374,detox
detox,7,paragis,3,7183311033094704410|7194959172948020507|7284696925214051590,detox
