username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count
talas.fr,"Ce purificateur d’air est fait pour vous ! N’hésitez pas, le site est dans la bio !              -                                                                             #purificateurdair #design #ambiance #agreable #tiktok #air #airpurifier","air,tiktok,design,ambiance,agreable,airpurifier,purificateurdair",7126577243375127814,5,6936204245700741121,FR,0,1659285570,0,656
talas.fr,Le purificateur d’air de Talas.fr est fait pour vous ! Le site est dans la bio pour le commander !                                                    -                                                                           #purification #purificateur #humidificateur #diffuseur #airpurifier #design #tiktokmademebuyit #tiktok,"tiktok,design,purification,diffuseur,airpurifier,humidificateur,purificateur,tiktokmademebuyit",7126546108125383941,2,6739916312593565698,FR,0,1659278322,1,109
talas.fr,"Ce diffuseur design est fait pour vous ! N’hésitez pas, le site est dans la bio !              -                                     #humidificateur_d_air #humidificateur #diffuseur #diffuseurhuilesessentielles #air #airpur #airpurifier #purificateur #purificateurdair #design #tiktok #tik_tok #tiktokfrance","air,tiktok,design,tik_tok,diffuseur,airpur,tiktokfrance,airpurifier,humidificateur,purificateur,diffuseurhuilesessentielles,purificateurdair,humidificateur_d_air",7126259412079086854,75,6773851609840486402,FR,4,1659211571,49,7367
stephanie.ariix,Respirez 🥰 l'air est pur #airpur #airpurifier  #purificateur  #purificateurdair #puritii,"airpur,airpurifier,puritii,purificateur,purificateurdair",7123547970389216518,0,6873501791145691137,FR,0,1658580262,1,17
air_fresher,"5 en 1: climatiseur, humidificateur, diffuseur d’huile essentielle, purificateur d’air & veilleuse! Dispo dans la BIO🧊❄️#trend #fyp #canicule #foryoupage #ete","trend,ete,fyp,canicule,foryoupage",7122446028904746246,4,7092425451141909254,FR,0,1658323697,0,274
restopartner,bienvenue au @petitmarguery #restaurantparis restaurant climatisé avec purificateur d air,restaurantparis,7122413662303702278,1,7122413663810095877,FR,0,1658316164,0,148
essencediffuse,#huilesessentielles#decorations#purifier#bien-etre #maisonsaine#diffuseurhuilesessentielles  #purificateurdair#maisonsaine #airpollution#parfum,"parfum,decorations,airpollution,purifier,bienetre,huilesessentielles,maisonsaine,diffuseurhuilesessentielles,purificateurdair",7121066182110694661,0,7121066180688808709,FR,0,1658002425,0,111
essencediffuse,#huilesessentielles #decorations #respiration #bien-etre #maisonsaine #diffuseurhuilesessentielles #pollutioninterieur #purificateurdair,"decorations,respiration,bienetre,huilesessentielles,maisonsaine,diffuseurhuilesessentielles,purificateurdair,pollutioninterieur",7121064586836479237,2,7121064585457191685,FR,0,1658002054,0,87
laetitiamena1,"🌟 Purificateur d'air Puritii 🌟 Il est doté d'une fonction intelligente qui ajuste la qualité de l'air en tant réel... Il fournit 360° d'air pur et propre... Il filtre, les squames, les cheveux,  la poussière, pollen, polluants, les odeurs... Télécommande fournis... plus de détails en Mp 😊 #winteam #newageariix #womeninspiration #jobpportunity #activitée #femmesanté #santé #purificateurdair #médical","winteam,santé,médical,womeninspiration,activitée,newageariix,purificateurdair,femmesanté,jobpportunity",7117897750364097798,4,7115923441978493702,FR,0,1657264720,1,458
art.figurine,Purificateur d'air @Elegoo Official#print3d #impression3d #jupiter#elegoojupiter,"jupiter,impression3d,print3d,elegoojupiter",7138006129614834950,63,7138006140771715845,FR,10,1661946568,0,1208
