name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
n-yIN63w6O4,other,,De dubbele pet van woningbouwbazen,no,,yes,1687451735,2023-06-22 16:06:35,Nieuwsuur,UCExcZNwh_3Mwm4fF4VSiu2w,News & Politics,nl,nl,175499,2174,,,0,575,https://i.ytimg.com/vi/n-yIN63w6O4/mqdefault.jpg,EN,Other
KikUhrwB0cQ,other,,In Franse banlieues barst telkens de bom,no,,no,1688796007,2023-07-08 06:07:07,NOS op 3,UCf63l7Wp_wX7T-5ChM_Km9Q,News & Politics,nl,nl,197784,3530,,,0,831,https://i.ytimg.com/vi/KikUhrwB0cQ/mqdefault.jpg,EN,Other
59FLrNTGVMg,other,,The Untold Story Of Samsung’s Growing Chip Business,no,,no,1686242485,2023-06-08 16:06:25,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,485047,6420,,,0,459,https://i.ytimg.com/vi/59FLrNTGVMg/mqdefault.jpg,EN,Other
0ydtETPStEI,other,,How The U.S. Caught A Chinese Spy,no,,no,1687449602,2023-06-22 16:06:02,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,2030851,26880,,,0,3768,https://i.ytimg.com/vi/0ydtETPStEI/mqdefault.jpg,EN,Other
rAcEcb2osi4,other,,The Hidden Costs Of Amazon Shipping And Returns,no,,no,1653667241,2022-05-27 16:05:41,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,2175531,15385,,,0,2336,https://i.ytimg.com/vi/rAcEcb2osi4/mqdefault.jpg,EN,Other
mDamhO7my9A,other,,How Texas Became The American Chipmaking Hub,no,,no,1689868829,2023-07-20 16:07:29,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,426429,7019,,,0,1211,https://i.ytimg.com/vi/mDamhO7my9A/mqdefault.jpg,EN,Other
J064wmGKEZg,other,,How China Is Threatening U.S. GPS Dominance,no,,no,1690646411,2023-07-29 16:07:11,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,231299,3758,,,0,1697,https://i.ytimg.com/vi/J064wmGKEZg/mqdefault.jpg,EN,Other
pNutjzkXDqY,other,,Are Cow Burps Destroying New Zealand?,no,,no,1689706823,2023-07-18 19:07:23,VICE News,UCZaT_X_mc0BI-djXOlfhqWQ,News & Politics,en,en-US,55392,1237,,,0,617,https://i.ytimg.com/vi/pNutjzkXDqY/mqdefault.jpg,EN,Other
-dk3NOEgX7o,other,,Plastic Wars (full documentary) | FRONTLINE,no,,no,1585706410,2020-04-01 02:04:10,FRONTLINE PBS | Official,UC3ScyryU9Oy9Wse3a8OAmYQ,News & Politics,en,en,1670703,17069,,,0,2403,https://i.ytimg.com/vi/-dk3NOEgX7o/mqdefault.jpg,EN,Other
x-FwSiK6s_8,other,,How artificial intelligence and robotics are transforming the beauty industry,no,,no,1690895373,2023-08-01 13:08:33,CBS Mornings,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,,en,1193,58,,,0,7,https://i.ytimg.com/vi/x-FwSiK6s_8/mqdefault.jpg,EN,Other
IIVG54wNPd0,other,,How science saves sweet corn,no,,no,1629741604,2021-08-23 18:08:04,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,546384,18875,,,0,1566,https://i.ytimg.com/vi/IIVG54wNPd0/mqdefault.jpg,EN,Other
zGR-pyLHz1s,other,,Why people love cast iron pans (and why I m on the fence),no,,no,1595872824,2020-07-27 18:07:24,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,3176627,70258,,,0,7036,https://i.ytimg.com/vi/zGR-pyLHz1s/mqdefault.jpg,EN,Other
fgcfgTTuku0,other,,Why palm oil is in everything  and why that s bad,no,,no,1622484008,2021-05-31 18:05:08,Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,Howto & Style,en,en-US,1452939,55403,,,0,4444,https://i.ytimg.com/vi/fgcfgTTuku0/mqdefault.jpg,EN,Other
dsAuuHduGJI,other,,Centuries-old companies in Japan on the secrets of business longevity,no,,no,1690726980,2023-07-30 14:07:00,CBS Sunday Morning,UCVT1tPkR-fUVlO652EcO3ow,News & Politics,,en,50195,757,,,0,38,https://i.ytimg.com/vi/dsAuuHduGJI/mqdefault.jpg,EN,Other
Wpe2l4W22rc,other,,The Invention of Barbie,no,,no,1689870516,2023-07-20 16:07:36,Katie Couric,UCim9TnNKH5yinZm8_L95C-A,Entertainment,,en,1592,77,,,0,7,https://i.ytimg.com/vi/Wpe2l4W22rc/mqdefault.jpg,EN,Other
VsUF_CBJq50,other,,The Race to Build a Perfect Computer Chip,no,,no,1668090394,2022-11-10 14:11:34,Bloomberg Originals,UCUMZ7gohGI9HcU9VNsr2FJQ,News & Politics,,en,700026,15393,,,0,737,https://i.ytimg.com/vi/VsUF_CBJq50/mqdefault.jpg,EN,Other
CKYw_RG7i7w,other,,The Real Story Behind the House of Gucci,no,,no,1654012773,2022-05-31 15:05:33,Bloomberg Originals,UCUMZ7gohGI9HcU9VNsr2FJQ,News & Politics,,en,1284779,11357,,,0,365,https://i.ytimg.com/vi/CKYw_RG7i7w/mqdefault.jpg,EN,Other
MogExZ9NBVI,other,,An Insider Revealed Nissan s Secrets  Then Faced Its Wrath,no,,no,1617138118,2021-03-30 21:03:58,Bloomberg Originals,UCUMZ7gohGI9HcU9VNsr2FJQ,News & Politics,,en,1565719,27716,,,0,3405,https://i.ytimg.com/vi/MogExZ9NBVI/mqdefault.jpg,EN,Other
