query,querySlug,cluster,clusterLabel,text,videosNumber,ids
detox,detox,detox,Detox,ontgiften,198,7057430050966195461|7057108774800067845|7054537702909267205|7050816856688495878|7049381383046810886|7049326424099949829|7066863499099573510|7065231532604116229|7064537427649547525|7059993974643150085|7070076396349050117|7098620872835091718|7108355016192298245|7125390014782950661|7123920466238065925|7122486342323358982|7116166330209815813|7135062917380132102|7128066622169877766|7127993533532851462|7127242918292638982|7139513847341124870|7157460065392463110|7153982766563069189|7150033523779325189|7171811688113540357|7167118055296879877|7167074488562142470|7162900503293119750|7161063596045257989|7179576766950821126|7177331270899338502|7192590406138252549|7192344833221037318|7191502573130550533|7191181306196282629|7190789232619687173|7190296637464464645|7190071420444101893|7188826851123498246|7198135099504856326|7216246411850026245|7213398286743457030|7211386248433274118|7210807931204406533|7210090669803588869|7209635358244343046|7209285116906966277|7206006635184016645|7226237217411239195|7228148205249187098|7243803483927776539|7241680992962923803|7241205693171158298|7258939731495505179|7257630497432538395|7257113271646407963|7255644059312606491|7271588369468099872|7269497407119838496|7268277641050901792|7263604078628965665|7280069968769600800|7279061360443444513|7279035490441923872|7274497973743127840|7294555153548496160|7288434435823897888|7307336912224734496|7306949396296502560|7301747943525190945|7308310409457437985|7066863499099573510|7171811688113540357|7307336912224734496|7306949396296502560|7066863499099573510|7065231532604116229|7064537427649547525|7059993974643150085|7080041168096038150|7078562590502210822|7070076396349050117|7070031029142179077|7092309691392363781|7091154639395097861|7090808960076369158|7090438040774003973|7088695287950232837|7088365095595658501|7085973475222883589|7083375700622839046|7082636799054564614|7081969133033655558|7098984703285333253|7098620872835091718|7093137052010630406|7108355016192298245|7105260452975889669|7104308907614522630|7125390014782950661|7123920466238065925|7122486342323358982|7120521680111324422|7120474393951751430|7119508780739464453|7116166330209815813|7137704660776815877|7135062917380132102|7128066622169877766|7127993533532851462|7127537519004028166|7127242918292638982|7127195622234443014|7148763022922665221|7140886648832773381|7139513847341124870|7159446428178320645|7157956582062443781|7157460065392463110|7154992310588083461|7154281698589478149|7153982766563069189|7150033523779325189|7171811688113540357|7167118055296879877|7167074488562142470|7162900503293119750|7161063596045257989|7179576766950821126|7178867992640507142|7177331270899338502|7176650559879941381|7175446006052539654|7193237114622840069|7192590406138252549|7192344833221037318|7191763393496239366|7191502573130550533|7191181306196282629|7190789232619687173|7190296637464464645|7190071420444101893|7188826851123498246|7205118094845545733|7202994724981165318|7202321246392962309|7198236039884950790|7198135099504856326|7216246411850026245|7215602473547877637|7215147914677505286|7214913724371537158|7214910565351738629|7213398286743457030|7211386248433274118|7211177273502764294|7210807931204406533|7210442606155762950|7210404561515760902|7210090669803588869|7209635358244343046|7209285116906966277|7206006635184016645|7227532471712206107|7226697491591236891|7226420921723047194|7226251323505773851|7226237217411239195|7225740155343195419|7225529478485691674|7220863625911700762|7237108630548385051|7234176486603836698|7234096452186672411|7233826727519112475|7232230004300598555|7228148205249187098|7246020584377748762|7243803483927776539|7261985810226941217|7258939731495505179|7257630497432538395|7271588369468099872|7269497407119838496|7268277641050901792|7267495693923700001|7283152761808555297|7280069968769600800|7280045220564077830|7279061360443444513|7279035490441923872|7294555153548496160|7307336912224734496|7306949396296502560|7304933823094000929|7301747943525190945|7308310409457437985
detox,detox,detox,Detox,detox,320,7054537702909267205|7049381383046810886|7049326424099949829|7066863499099573510|7098620872835091718|7108355016192298245|7122486342323358982|7128066622169877766|7127993533532851462|7141312742836817158|7139513847341124870|7153982766563069189|7171811688113540357|7194193435597835526|7191502573130550533|7190071420444101893|7186622171337231622|7185592054716566790|7199717633799818502|7211386248433274118|7210807931204406533|7210090669803588869|7209635358244343046|7209285116906966277|7206006635184016645|7226237217411239195|7223332558463864091|7221472585975270661|7236449618521820443|7228148205249187098|7250446921175731483|7249071637813923099|7248630170792283418|7259908742530043163|7257630497432538395|7256693500899527962|7273029222002740512|7266001903677443360|7265320699454131488|7264251740080377120|7263604078628965665|7280069968769600800|7279785064806829344|7279061360443444513|7279052787005115680|7279035490441923872|7294555153548496160|7293157946471583008|7288434435823897888|7307336912224734496|7302405551202307361|7301747943525190945|7301023435788979488|7299180242260806945|7311016749678300448|7308310409457437985|7059425290639969541|7059422316748360965|7059208493865192709|7059002172201012486|7058674383522368773|7058166843822984453|7057973862167792902|7057823085713509638|7057542147725200646|7057469511309511942|7057269965245762822|7069818707761057029|7069336953006738693|7069331394379386118|7069303520519900422|7068305258606349574|7068275514439388421|7067745101199592709|7067620557814009093|7067467708924726534|7067111825573285126|7066863499099573510|7066341638364204294|7081357958763793670|7081260691012750598|7081250441635613958|7081241568094506245|7081180565369605381|7080954152603421958|7080791210004106501|7080600221616459013|7080458476031331590|7079861561921195270|7079795303510985989|7079688602707447046|7079304358365580550|7078810502301814022|7078798324362398981|7092387096605773062|7092325279594581253|7092098345811889413|7092011186635476230|7091726624353176837|7091692218058132742|7091667431399148806|7091639315289132294|7091369631209819397|7091036522312518917|7091003445418708229|7090978276478323973|7104037263390084357|7103856397711838470|7103603033027693829|7103119192529980678|7102863350819818758|7102858899891522822|7102379289718377733|7102319314677615878|7102056483839331590|7101760759683632390|7115053088431459589|7114976189005024518|7114832892143881478|7114750390024834309|7114331987099307269|7114199745920339206|7114014420983942405|7113566181147135237|7113479396505259270|7113109982991682822|7113021406035594502|7112927526523096326|7126567751472270598|7126169429431389445|7125775555563162885|7125348313506909445|7124948436830407941|7124864314116263173|7124758041161141510|7124742294011399429|7124726543644970246|7124631090240720134|7124419209311898886|7138045027829304581|7136207140099804421|7135491916644306182|7135481694143958277|7149197805024857350|7149105608682163461|7148844880968666374|7148773749603552518|7148770561064193285|7148431121049472262|7148334940516584710|7148101134706576646|7147666904738548997|7160674080260148485|7160077610762915078|7159980284795047173|7159889042803363077|7159872999296863494|7159839797085768966|7159730900350029062|7171811688113540357|7171590146834435333|7171586197565787398|7171504091116440837|7171468776993541381|7171401908639304965|7171399530682928389|7171172126819388677|7171045912633003270|7170942897687104774|7170747699640175878|7170745535115070725|7183325727763385605|7182926448792046853|7182876346325011717|7182823900353481990|7182670538064612613|7182310243253161222|7182296640492031238|7182185858848558341|7194892145969401093|7194706615096986886|7194634945380355333|7194456687607106821|7194396652529044741|7194377818950634758|7194193435597835526|7205359594015575301|7205201846871477510|7205108442137251077|7204893737133018373|7204890443107110149|7204845598351183109|7204755374430375174|7204551600315043078|7216777377123241221|7216764300986273029|7216745165858409733|7216677094103829766|7216590355918114053|7216425400614915334|7216388446372367622|7227836968275660059|7227824535544909082|7227782712512367899|7227456992158240026|7227417446729239835|7227223293047229723|7239405587950308634|7239014506427419931|7239013727880695066|7250492122061606171|7250446921175731483|7250205658136513819|7250189731189902618|7250121376118426907|7250074471153847578|7250000820937264411|7249773821303983387|7261935365546675489|7261891907507277082|7261858705338109211|7261594363455606043|7261562115314486555|7261555480646995227|7273523907959803169|7273496889213963552|7273436960167857440|7273398220724768033|7273229213535161633|7273221945036950817|7273207305108213025|7273203128839785761|7284611331485945121|7284560576502648096|7284296077451201824|7283951359613832480|7296192644168895777|7296111119863794976|7296105031592332577|7296093810487053600|7296007152005631264|7295839116585864480|7295782078816308513|7295676780516576544|7295474896338046240|7295460849869671713|7307364103532629280|7307336912224734496|7307280828298562849|7307249710132170016|7306972038466374945|7306923323525516576|7306918249722039585|7306911739705036065|7318866316335615265|7318393776182021408|7318072936760397089|7317990982811733280|7066863499099573510|7091154639395097861|7090808960076369158|7090438040774003973|7088365095595658501|7082636799054564614|7081969133033655558|7098620872835091718|7108355016192298245|7122486342323358982|7128066622169877766|7127993533532851462|7127537519004028166|7141312742836817158|7139513847341124870|7153982766563069189|7171811688113540357|7194193435597835526|7191502573130550533|7190071420444101893|7199717633799818502|7214913724371537158|7214910565351738629|7211386248433274118|7210807931204406533|7210090669803588869|7209635358244343046|7209285116906966277|7206006635184016645|7227532471712206107|7226697491591236891|7226420921723047194|7226251323505773851|7226237217411239195|7225740155343195419|7225529478485691674|7223332558463864091|7221472585975270661|7237108630548385051|7236449618521820443|7228148205249187098|7250446921175731483|7249071637813923099|7248630170792283418|7259908742530043163|7257630497432538395|7273029222002740512|7266001903677443360|7265320699454131488|7280069968769600800|7279785064806829344|7279061360443444513|7279052787005115680|7279035490441923872|7294555153548496160|7293157946471583008|7307336912224734496|7304933823094000929|7302405551202307361|7301747943525190945|7311016749678300448|7308310409457437985
detox,detox,detox,Detox,detoxdrink,39,7108355016192298245|7139513847341124870|7171811688113540357|7209285116906966277|7206006635184016645|7226237217411239195|7273029222002740512|7295821991146212640|7059425290639969541|7080903447230336262|7078810502301814022|7078798324362398981|7102466202315853062|7102319314677615878|7137688942702251269|7149148973360581894|7159883419659308293|7171811688113540357|7171045912633003270|7182296640492031238|7205312404941671685|7204790083738750213|7216434053787045126|7216346549402619142|7227090588104019227|7250413969272261915|7250032194889010459|7273229213535161633|7284560576502648096|7295821991146212640|7318866316335615265|7108355016192298245|7139513847341124870|7171811688113540357|7209285116906966277|7206006635184016645|7226237217411239195|7273029222002740512|7295821991146212640
detox,detox,detox,Detox,detoxification,7,7108355016192298245|7139513847341124870|7057190230759181573|7067065501926624518|7250189731189902618|7108355016192298245|7139513847341124870
detox,detox,detox,Detox,detoxwater,11,7139513847341124870|7209285116906966277|7206006635184016645|7102056483839331590|7194634945380355333|7194477006355025158|7249893476026862874|7318722545061072160|7139513847341124870|7209285116906966277|7206006635184016645
detox,detox,detox,Detox,detoxing,12,7139513847341124870|7059382040302488838|7080791210004106501|7125051448152444165|7136097495637101830|7147742532514991366|7160732411561594118|7194576540057881861|7284560576502648096|7318866316335615265|7127537519004028166|7139513847341124870
detox,detox,detox,Detox,detoxen,23,7150033523779325189|7167118055296879877|7167074488562142470|7190071420444101893|7198135099504856326|7102056483839331590|7182876346325011717|7227927503707426075|7249773821303983387|7262099573798227233|7127537519004028166|7150033523779325189|7167118055296879877|7167074488562142470|7180260832117394694|7190071420444101893|7198236039884950790|7198135099504856326|7220863625911700762|7233826727519112475|7267495693923700001|7283152761808555297|7305073972931120417
detox,detox,detox,Detox,detoxdenhaag,9,7167118055296879877|7167074488562142470|7306949396296502560|7135933235900632325|7171949013955071237|7306949396296502560|7167118055296879877|7167074488562142470|7306949396296502560
detox,detox,detox,Detox,bodydetox,6,7162900503293119750|7161063596045257989|7160777955755560198|7160425500320566533|7162900503293119750|7161063596045257989
detox,detox,detox,Detox,zerotoxic,4,7162183876058647814|7162148567577054469|7162183876058647814|7162148567577054469
