query,querySlug,cluster,clusterLabel,text,videosNumber,ids
glyphosate,glyphosate,monsanto,Monsanto,histamine,11,7227653324231724330|7239373272394059054|7238790737138158894|7238790036743884075|7238789225955495211|7238788689885711659|7238787963952434474|7261660232034569515|7261233087978327342|7284492817034923307|7284489139012078894
glyphosate,glyphosate,monsanto,Monsanto,masscell,11,7227653324231724330|7239373272394059054|7238790737138158894|7238790036743884075|7238789225955495211|7238788689885711659|7238787963952434474|7261660232034569515|7261233087978327342|7284492817034923307|7284489139012078894
glyphosate,glyphosate,healthy-living,Healthy living,santé,17,7063202963380096261|7294933394159340832|7292080745584151841|7306906801058909473|7303795124130155809|7313217087361600800|7312372249636408608|7307899053805784352|7063202963380096261|7294933394159340832|7292080745584151841|7306906801058909473|7303795124130155809|7313217087361600800|7312372249636408608|7307899053805784352|7306906801058909473
glyphosate,glyphosate,healthy-living,Healthy living,healthyfood,7,7226973764368600346|7226973764368600346|7138041508342648110|7148825671656164613|7182993558264352046|7182938044755135790|7295857062095932714
glyphosate,glyphosate,healthy-living,Healthy living,healthylife,4,7226973764368600346|7226973764368600346|7171661779569741098|7194951807750212906
glyphosate,glyphosate,healthy-living,Healthy living,health,29,7259672057317772570|7304297204955532577|7259672057317772570|7304297204955532577|7058291982816496943|7067764739518172462|7065846492111785262|7101791026368515374|7111667731149245742|7125809517954092331|7137474774124481838|7171661779569741098|7171244957251046702|7181543793789816107|7181297951539547434|7194536473859755307|7193844602506497326|7193686978058063109|7216790916563045678|7216316067843427630|7227526414952615211|7227113633182911790|7250288626049895726|7250200692605111595|7261788672117394734|7284600015312604462|7295938904027401518|7295857062095932714|7318222187691871518
glyphosate,glyphosate,healthy-living,Healthy living,heal,3,7304297204955532577|7304297204955532577|7227594704257420590
glyphosate,glyphosate,healthy-living,Healthy living,holistichealth,25,7057205391234518318|7080528135728581934|7079238624629345578|7091378372009413931|7115130721395608874|7126551646305275178|7126550781624438058|7149307964065778990|7171960307810635051|7171661779569741098|7171656071423986990|7181498210043874606|7194276420502441262|7193686978058063109|7205230685336980779|7216724287816863018|7216362178486603050|7227594704257420590|7227204491525917998|7238675838244359470|7250153542634327339|7261617577229634858|7273189534387457323|7284490036060409118|7307296856374119726
glyphosate,glyphosate,healthy-living,Healthy living,guthealthmatters,6,7067306181265607982|7182954347746168110|7194516898241858858|7238675838244359470|7296222597480451359|7306948960462179627
glyphosate,glyphosate,healthy-living,Healthy living,healthyliving,12,7065379283170151727|7080374868008553770|7102486797745442094|7112986036594068782|7171661779569741098|7171610402516782382|7170549929864285486|7194951807750212906|7194218083467316526|7204544514881588523|7296098911922457899|7295857062095932714
