query,cluster,text,videosNumber,ids
air purifier,12,cadeautje,5,7309113621127253000|7308455815042567000|7309113621127253000|7309113621127253000|7308455815042567000
air purifier,12,giftideas,5,7308455815042567000|7166637803013443000|7172545266812243000|7232254536369343000|7308455815042567000
air purifier,12,cadeau,4,7314276165584293000|7308455815042567000|7314276165584293000|7308455815042567000
air purifier,13,amazonfinds,18,7260083491562343000|7291630522260901000|7286090568705347000|7169248153902812000|7166637803013443000|7173415665817226000|7172545266812243000|7195956715265789000|7247476200560463000|7260083491562343000|7271913801769881000|7271855846487887000|7271629302037368000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,13,amazonbestseller,10,7260083491562343000|7291630522260901000|7286090568705347000|7247476200560463000|7260083491562343000|7291630522260901000|7286090568705347000|7260083491562343000|7291630522260901000|7286090568705347000
air purifier,13,aromatherapy,7,7169248153902812000|7164865621191069000|7172545266812243000|7200627163341639000|7299109827920285000|7171427638903344000|7176327359514136000
air purifier,13,beautysalon,6,7188139726304595000|7299972785877585000|7308455815042567000|7188139726304595000|7299972785877585000|7308455815042567000
air purifier,13,hienbeautyalmere,6,7188139726304595000|7299972785877585000|7308455815042567000|7188139726304595000|7299972785877585000|7308455815042567000
air purifier,13,hienbeautysupplies,6,7188139726304595000|7299972785877585000|7308455815042567000|7188139726304595000|7299972785877585000|7308455815042567000
air purifier,13,hienbeautysupply,6,7188139726304595000|7299972785877585000|7308455815042567000|7188139726304595000|7299972785877585000|7308455815042567000
air purifier,13,nagelsalon,4,7188139726304595000|7299972785877585000|7188139726304595000|7299972785877585000
air purifier,13,nagelstudio,4,7188139726304595000|7299972785877585000|7188139726304595000|7299972785877585000
air purifier,13,aromaterapi,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,13,amazonreview,4,7169248153902812000|7166637803013443000|7172545266812243000|7288014754591952000
air purifier,13,amazonmusthave,3,7169248153902812000|7166637803013443000|7172545266812243000
air purifier,13,amazonmusthaves,3,7173415665817226000|7201377688227974000|7271855846487887000
air purifier,13,amazonhomefavorites,3,7271913801769881000|7271629302037368000|7303521908773899000
air purifier,14,relaxation,5,7200627163341639000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,15,humidifier,11,7153607822373146000|7169248153902812000|7164865621191069000|7172545266812243000|7200627163341639000|7199073356983864000|7221883481066851000|7276190636754210000|7276183381577059000|7299109827920285000|7153607822373146000
air purifier,15,airhumidifier,5,7169248153902812000|7172545266812243000|7223280556904025000|7271855846487887000|7299109827920285000
air purifier,15,humidifiers,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,15,humidifiermurah,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,15,humidifieraromatherapy,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,15,humidifierlucu,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,15,humidifierseller,4,7169248153902812000|7164865621191069000|7172545266812243000|7299109827920285000
air purifier,15,jualhumidifier,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,15,humidifierunik,3,7169248153902812000|7172545266812243000|7299109827920285000
air purifier,15,portablehumidifier,3,7200627163341639000|7230822845226536000|7230580030835871000
air purifier,16,gadget,9,7202674137012194000|7202673874075454000|7202673850876792000|7200460010390851000|7200459176869613000|7199710248297352000|7195956715265789000|7195866359291481000|7225766345772764000
air purifier,16,product,7,7169248153902812000|7166637803013443000|7172545266812243000|7200460010390851000|7200459176869613000|7195956715265789000|7195866359291481000
air purifier,16,productreview,7,7169248153902812000|7166637803013443000|7172545266812243000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,16,musthave,6,7293230115796848000|7232254536369343000|7259578844586266000|7259576428822269000|7259573709210455000|7293230115796848000
air purifier,16,buynow,5,7169248153902812000|7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,16,bestseller,4,7098601684628147000|7247476200560463000|7241269362798120000|7098601684628147000
air purifier,16,handmade,4,7293230115796848000|7166637803013443000|7172545266812243000|7293230115796848000
air purifier,16,freshair,4,7299972785877585000|7148623191156493000|7276183381577059000|7299972785877585000
air purifier,16,fypage,4,7313926716815101000|7271913801769881000|7271629302037368000|7313926716815101000
air purifier,16,gadgets,4,7068193450339945000|7200457718275050000|7208605012560236000|7225766345772764000
air purifier,16,trendingnow,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,16,buyitnow,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,16,explorepage,4,7259942991161331000|7259578844586266000|7259576428822269000|7259573709210455000
air purifier,16,dyson,3,7224143568800173000|7131098968758537000|7224143568800173000
air purifier,16,unboxing,3,7309113621127253000|7309113621127253000|7309113621127253000
air purifier,16,sale,3,7309113621127253000|7309113621127253000|7309113621127253000
