id,title,rank,keyword_Location,cluster,clusterLabel
1365807654,Plastic products in transparent cups and containers taken on a dark background,904,Japan,waste_underwater,Waste underwater
173558308,Southern and central United States map,905,North Carolina - US State|New Mexico|Southern USA|USA|Louisiana|Cuba|Florida - US State|Mexico|Georgia - US State|Kansas|Alabama - US State|Havana|Ohio|Baton Rouge|Lafayette - Louisiana|North America|Missouri|Houston - Texas|Oklahoma|Tennessee|Country - Geographic Area|Kentucky|Florida Keys|Gulf Coast States|Arkansas|Virginia - US State|Mississippi|Colorado|New Orleans|Key West|South Carolina,other,Other
1475262042,"Environmental Hazard: Toxic PFOS Chemical Fire Foam Floating Down the Street, PFAS Firefighting Chemicals",906,Spain,other,Other
1312244747,"A woman in a jacket, with a garbage bag in her hands, reaches for a bottle to the ground. Bottom view. The sky is in the background. Concept of environmental pollution",907,Russia,people_cleaning,People cleaning
598952712,Abstract Aerial View of Red Tailing Ponds with Various Textures,908,Australia,other,Other
1180197347,DIY paper milk bag. Creative paper milk bag ideas. Recycle crafts. toy car made from a milk bag,909,,other,Other
907156828,No clear waters here,910,Germany,other,Other
1206603547,save the ocean from plastic pollution.,911,Malaysia,waste_underwater,Waste underwater
598160416,Coal-fired power plants,912,,other,Other
1076741648,"foam chemical origin on the surface of the river, caused by water pollution",913,Ukraine,other,Other
1391062498,Two Scientists in protective suits and masks took a sample of water for analysis. Environment Issue concept. Environment Issue concept,914,Thailand,experts_analysing,Experts analysing
1422989570,"dirty water is poured from an industrial pipe into the environment, environmental pollution, sand leaching",915,Ukraine,pipes,Pipes
1133793961,Swan swims in contaminated water with plastic bottles,916,Serbia,other,Other
1132484742,a Plastic water bottle pollution in ocean,917,Caribbean|Ukraine,waste_underwater,Waste underwater
157694039,Drift  Waste,918,,waste_on_the_beach,Waste on the beach
1332528623,"The city of Manila, the capital of the Philippines",919,Makati|Metro Manila|Philippines|Greater Manila Area|Luzon|Manila - Philippines|Asia,villages_river,Villages river
1316878176,Up for the task,920,,experts_analysing,Experts analysing
1168252121,female ecologist or biochemist examines a test tube with water from a city river in a collector,921,Russia,experts_analysing,Experts analysing
1465176139,Aerial View of Drinking water treatment plant. Microbiology of drinking water production and distribution,922,Thailand|Europe,other,Other
897474406,Critically Endangered Hawksbill Sea Turtle tangled Ghost Net,923,Thailand|Phi Phi Islands,other,Other
171288372,Environmentalist at sewage treatment plant,924,,other,Other
1464932084,Aerial View of Drinking water treatment plant.,925,Europe|Thailand|Wroclaw,other,Other
1305091936,Low angle view of female biological researchers squatting at riverside and discussing measured data.,926,,experts_analysing,Experts analysing
1307650433,Water Purification Plant from Above,927,Europe|Germany,water_clarifiers,Water clarifiers
1184972806,"microplastic particle on white background, nurdles pollution",928,Germany,microplastics,Microplastics
157605793,Oil Spill Protection Boom,929,Dauphin Island|Gulf Coast States,other,Other
1341459640,aeiral view of mucilage that effect of marine pollution,930,Istanbul|Türkiye - Country,other,Other
1253446120,medical surgical mask floating underwater sea trash,931,Spain,waste_underwater,Waste underwater
