username,video_description,hashtag_names,id,like_count,music_id,region_code,comment_count,create_time,share_count,view_count,link
femmiedepemmie82,Het leven begint thuis! Scentsy zorgt voor een altyd fijn geurend en fris huis met onze luchtreiniger🥰 Zelf als jij er even niet denkt👌#geurwax #scentsyconsultant #luchtreiniger,"scentsyconsultant,geurwax,luchtreiniger",7240807789159845146,3,7240807781061823259,NL,0,1685881947,0,52,https://www.tiktok.com/@femmiedepemmie82/video/7240807789159845146
benitahammink,Iedere dag een hoekje in iedere ruimte en je huis blijft bijgehouden 😅. #huishouden #cleantok #5minuten #schonelucht #astma #copd #luchtreiniger #airbowl #prowin #pollenallergie,"astma,5minuten,huishouden,copd,prowin,pollenallergie,cleantok,airbowl,schonelucht,luchtreiniger",7260518174779510042,17,6693354155173481218,NL,0,1690471125,0,0,https://www.tiktok.com/@benitahammink/video/7260518174779510042
thewhitebull.nl,"Smokeless Ashtray: Multifunctional Purification & Air Purifier Keep your indoor air clean and fresh with our CleanAir Ashtray! With its practical automatic air purifying feature, you can enjoy a cleaner and healthier living or working environment. This portable gadget is perfect for families and offices alike, and is a must-have for anyone looking to improve their indoor air quality. Order Today 👨‍💻 Price: €24.49 only Free Shipping #netherlands #belgium  #smokelessashtray #ashtray #ashtraypov #ashtrays #airpurifier #airpurifierrecommendation #rookvrij #rookvrijegeneratie #rookvrijleven #smokefree #smokefreeenvironmentnow #smokefreezone #cigrate #smokefreespell #smokefreelife #smokefreeliving #smokefreefuture #environmentfriendly #tiktoktrending #smokefreegeneration #environmentfriendlyproducts #amazonfinds #amazonbestseller #tiktokproducts #ashtrayedit #ashtrayart #asbakje #luchtreiniger ","belgium,ashtray,ashtrays,netherlands,cigrate,smokefree,smokefreezone,environmentfriendly,smokefreelife,tiktoktrending,airpurifier,amazonfinds,tiktokproducts,rookvrij,amazonbestseller,ashtrayart,rookvrijegeneratie,smokefreegeneration,luchtreiniger,smokefreefuture,smokelessashtray,ashtrayedit,ashtraypov,rookvrijleven,smokefreeliving,asbakje,environmentfriendlyproducts,smokefreespell,airpurifierrecommendation,smokefreeenvironmentnow",7260083491562343706,1,7218757995077454597,NL,0,1690369918,0,31,https://www.tiktok.com/@thewhitebull.nl/video/7260083491562343706
joellegullitc,Ik ben VERSLAAFD! Ik ben ontzettend dankbaar dat ik de @Dyson luchtreiniger heb mogen ontvangen 🥺🫶🏽 Ik kan eindelijk lekker slapen met deze hitte en tegelijkertijd reinigt het ook nog eens.. kan niet beter! #dysonhome #mydyson,"mydyson,dysonhome",7275414060437343520,489,7275414078976936736,NL,3,1693939344,0,35,https://www.tiktok.com/@joellegullitc/video/7275414060437343520
bol.gaming,"Must have accessoires voor je gaming setup 👀 #gamingaccessoires #gamingpc #gamepc #pc #gameaccessoires #gaming #gamersoftiktok #bolgaming #bolfinds #luchtreiniger #gamingmusthave #gamertips Dit gaming accessoire is te vinden op bol.com👾: Zedar luchtreiniger ⭐️ Bol.com Reviews: 4,5/5 Verwijder 99,95% van alle virussen, bacteriën, pollen en fijnstof uit de lucht met de Zedar luchtreiniger. Met de ingebouwde HEPA 13 filter haal je 99,95% vervuilde lucht uit jouw woning. Hierdoor krijg je minder snel last van geïrriteerde luchtwegen of een verkoudheid. Dankzij de slimme functie in de app kan je gemakkelijk de luchtkwaliteit controleren en het apparaat bedienen via jouw smartphone.","pc,gaming,gamingpc,gamepc,gamertips,gamersoftiktok,bolgaming,gamingaccessoires,luchtreiniger,gamingmusthave,bolfinds,gameaccessoires",7296129869476269344,1888,7296129881535335200,NL,30,1698762619,0,3651,https://www.tiktok.com/@bol.gaming/video/7296129869476269344
ennieszoutlampen,Check onze prachtige Himalaya Zoutlamp in de vorm van een Maan 🌙 dit is een echte musthave voor in de kinderkamer #beterslapen#rustgevend#warmlicht#luchtreiniger#kinderkamer#zoutlamp#musthave#duurzaam#handmade#natuurlijk,"handmade,natuurlijk,musthave,rustgevend,kinderkamer,zoutlamp,duurzaam,beterslapen,warmlicht,luchtreiniger",7293230115796847904,2,7293230154774940448,NL,1,1698087466,0,0,https://www.tiktok.com/@ennieszoutlampen/video/7293230115796847904
thewhitebull.nl,"Smokeless Ashtray: Multifunctional Purification & Air Purifier Keep your indoor air clean and fresh with our CleanAir Ashtray! With its practical automatic air purifying feature, you can enjoy a cleaner and healthier living or working environment. This portable gadget is perfect for families and offices alike, and is a must-have for anyone looking to improve their indoor air quality. Order Today 👨‍💻 Free Shipping #netherlands #belgium  #smokelessashtray #ashtray #ashtraypov #ashtrays #airpurifier #airpurifierrecommendation #rookvrij #rookvrijegeneratie #rookvrijleven #smokefree #smokefreeenvironmentnow #smokefreezone #cigrate #smokefreespell #smokefreelife #smokefreeliving #smokefreefuture #environmentfriendly #tiktoktrending #smokefreegeneration #environmentfriendlyproducts #amazonfinds #amazonbestseller #tiktokproducts #ashtrayart #asbakje #luchtreiniger #ashtrayairpurifier ","belgium,ashtray,ashtrays,netherlands,cigrate,smokefree,smokefreezone,environmentfriendly,smokefreelife,tiktoktrending,airpurifier,amazonfinds,tiktokproducts,rookvrij,amazonbestseller,ashtrayart,rookvrijegeneratie,smokefreegeneration,luchtreiniger,smokefreefuture,smokelessashtray,ashtraypov,rookvrijleven,smokefreeliving,asbakje,environmentfriendlyproducts,smokefreespell,airpurifierrecommendation,smokefreeenvironmentnow,ashtrayairpurifier",7291630522260901152,0,7274569875010407201,NL,0,1697715037,0,3,https://www.tiktok.com/@thewhitebull.nl/video/7291630522260901152
thewhitebull.nl,"Smokeless Ashtray: Multifunctional Purification & Air Purifier Keep your indoor air clean and fresh with our CleanAir Ashtray! With its practical automatic air purifying feature, you can enjoy a cleaner and healthier living or working environment. This portable gadget is perfect for families and offices alike, and is a must-have for anyone looking to improve their indoor air quality. Order Today 👨‍💻 Price: €20.99 only Free Shipping #netherlands #belgium  #smokelessashtray #ashtray #ashtraypov #ashtrays #airpurifier #airpurifierrecommendation #rookvrij #rookvrijegeneratie #rookvrijleven #smokefree #smokefreeenvironmentnow #smokefreezone #cigrate #smokefreespell #smokefreelife #smokefreeliving #smokefreefuture #environmentfriendly #tiktoktrending #smokefreegeneration #environmentfriendlyproducts #amazonfinds #amazonbestseller #tiktokproducts #ashtrayart #asbakje #luchtreiniger #ashtrayairpurifier ","belgium,ashtray,ashtrays,netherlands,cigrate,smokefree,smokefreezone,environmentfriendly,smokefreelife,tiktoktrending,airpurifier,amazonfinds,tiktokproducts,rookvrij,amazonbestseller,ashtrayart,rookvrijegeneratie,smokefreegeneration,luchtreiniger,smokefreefuture,smokelessashtray,ashtraypov,rookvrijleven,smokefreeliving,asbakje,environmentfriendlyproducts,smokefreespell,airpurifierrecommendation,smokefreeenvironmentnow,ashtrayairpurifier",7286090568705346849,2,7202210151988874027,NL,0,1696425164,0,1,https://www.tiktok.com/@thewhitebull.nl/video/7286090568705346849
bol.finds,Last van een slechte luchtkwaliteit in huis? Dan moet je deze luchtreiniger proberen.  Vind de producten op bol 🔍🧐 1. BS Luchtreiniger Pro - Air Purifier met HEPA filter #luchtreinger #airpurifier #lucht #bolfinds,"lucht,airpurifier,bolfinds,luchtreinger",7303465507280260384,80,7303465559004302113,NL,3,1700470592,0,39,https://www.tiktok.com/@bol.finds/video/7303465507280260384
cockatiels_dog,proairtech zx 9000  een luchtreiniger is echt aan te raden als je huisdieren hebt.  #proairtechxz9000 #dog #cockatiel #animals #pet #bird #CapCut,"animals,dog,pet,bird,cockatiel,capcut,proairtechxz9000",7301685197114821921,30,7010743408968861697,NL,16,1700056090,0,15,https://www.tiktok.com/@cockatiels_dog/video/7301685197114821921
