name,cluster,cluster name,label,isSeed,seedRank,linksSeed,publishedAtUnix,publishedAtSQL,channelTitle,channelId,videoCategoryLabel,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,dislikeCount,dislikeLikeRatio,favoriteCount,commentCount,thumb,language,clusterLabel
UKxRG4acdJQ,other,,WeatherMinds: How much rain would eliminate Minnesota s drought?,no,,no,1690845980,2023-07-31 23:07:20,KARE 11,UC1JAwKeDUjN2orv5t7LWODQ,News & Politics,en,en,221,5,,,0,0,https://i.ytimg.com/vi/UKxRG4acdJQ/mqdefault.jpg,FR,Other
c3JolJHejfk,other,,Climate Change Deniers Persist  Despite Record-Breaking Heat,no,,no,1690480829,2023-07-27 18:07:29,NowThis Earth,UCFH5dQAkGIqzcFYmM4tNtXw,Science & Technology,,en,4076,267,,,0,84,https://i.ytimg.com/vi/c3JolJHejfk/mqdefault.jpg,FR,Other
MW3pKku6BK0,other,,Low Water Levels on Rhine River Impact Trade Route,no,,no,1690898413,2023-08-01 14:08:13,NowThis Earth,UCFH5dQAkGIqzcFYmM4tNtXw,Science & Technology,,en,1432,82,,,0,8,https://i.ytimg.com/vi/MW3pKku6BK0/mqdefault.jpg,FR,Other
nFDnGfP_144,other,,Tropical Storm Claudette Makes Landfall,no,,no,1624311297,2021-06-21 21:06:57,NowThis Earth,UCFH5dQAkGIqzcFYmM4tNtXw,Science & Technology,,en,1704,71,,,0,2,https://i.ytimg.com/vi/nFDnGfP_144/mqdefault.jpg,FR,Other
HyVHTbk8onc,other,,En France  la fin des tickets de caisse imprimés entre en vigueur,no,,no,1690886264,2023-08-01 10:08:44,euronews (en français),UCW2QcKZiU8aUGg4yxCIditg,News & Politics,fr,fr,568,8,,,0,10,https://i.ytimg.com/vi/HyVHTbk8onc/mqdefault.jpg,FR,Other
ovCvW22ol3Y,other,,Jahrhundertgift: Warum wird es nicht verboten? STRG_F,no,,no,1664464315,2022-09-29 15:09:55,STRG_F,UCfa7jJFYnn3P5LdJXsFkrjw,People & Blogs,,en-US,3266330,59612,,,0,7450,https://i.ytimg.com/vi/ovCvW22ol3Y/mqdefault.jpg,FR,Other
ZDvPcj-N8DI,other,,La pouponnière de Wazemmes reprend vie,no,,no,1690364606,2023-07-26 09:07:26,France 3 Hauts-de-France,UCFC3nJ8GXl5yONe3tB_vhsw,News & Politics,,fr,178,2,,,0,0,https://i.ytimg.com/vi/ZDvPcj-N8DI/mqdefault.jpg,FR,Other
5YrM4OmV4Rw,other,,‘Bud Light of insurance’: Florida official blames insurer crisis on wokeness,no,,no,1689213603,2023-07-13 02:07:03,MSNBC,UCaXkIU1QidjPwiAYu6GcHjg,News & Politics,,en,761600,10110,,,0,5097,https://i.ytimg.com/vi/5YrM4OmV4Rw/mqdefault.jpg,FR,Other
q8SbnhtWAVw,other,,Zijn we in Nederland veilig voor een drone-aanval?,no,,yes,1669820410,2022-11-30 15:11:10,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,25368,327,,,0,82,https://i.ytimg.com/vi/q8SbnhtWAVw/mqdefault.jpg,FR,Other
4iwElLrN1Y8,other,,Het oneerlijke arbeidsongeschiktheidsstelsel,no,,yes,1689766230,2023-07-19 11:07:30,Zembla,UCMo9uZjfZuvVRxKDgaTBOyQ,News & Politics,,nl-NL,33037,497,,,0,261,https://i.ytimg.com/vi/4iwElLrN1Y8/mqdefault.jpg,FR,Other
KikUhrwB0cQ,other,,In Franse banlieues barst telkens de bom,no,,no,1688796007,2023-07-08 06:07:07,NOS op 3,UCf63l7Wp_wX7T-5ChM_Km9Q,News & Politics,nl,nl,197784,3530,,,0,831,https://i.ytimg.com/vi/KikUhrwB0cQ/mqdefault.jpg,FR,Other
uwv1B1xmlN8,other,,The Road Ahead and Closing,no,,no,1688759530,2023-07-07 19:07:10,wwwAAASorg,UCU_uRsjNMd1qP6CaKyFND_Q,Entertainment,,en,71,1,,,0,,https://i.ytimg.com/vi/uwv1B1xmlN8/mqdefault.jpg,FR,Other
q_fMkXHYh6c,other,,Why Tipping Is So Out Of Control In The U.S.,no,,no,1680192038,2023-03-30 16:03:38,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,4058942,59638,,,0,23507,https://i.ytimg.com/vi/q_fMkXHYh6c/mqdefault.jpg,FR,Other
QPAil1xY42I,other,,Who Makes Billions Paving America s Roads?,no,,no,1687708813,2023-06-25 16:06:13,CNBC,UCvJJ_dzjViJCoLf5uKUTwoA,News & Politics,,en,1316596,9760,,,0,1044,https://i.ytimg.com/vi/QPAil1xY42I/mqdefault.jpg,FR,Other
